global_time,program_time,event
11:27:44:7563,1.0570,Program started
11:27:46:4903,2.7910,Tracking enabled
11:27:56:7405,13.0412,Tracking disabled
11:28:07:4392,23.7399,Tracking enabled
11:28:23:1891,39.4898,Tracking disabled
11:28:26:6210,42.9217,Tracking enabled
11:28:31:6218,47.9225,Tracking disabled
