global_time,program_time,event
11:45:39:3547,1.0557,Program started
11:45:41:1052,2.8061,Tracking enabled
11:46:08:9552,30.6562,Tracking disabled
11:46:12:7541,34.4550,Tracking enabled
11:46:18:8552,40.5561,Tracking disabled
