global_time,program_time,event
11:51:23:6609,1.0474,Program started
11:51:24:4446,1.8311,Tracking enabled
11:51:52:7444,30.1309,Tracking disabled
11:51:56:6604,34.0469,Tracking enabled
11:52:05:7273,43.1138,Tracking disabled
